element,isotope,mass,abundance,ratioC,Mass_Dif,unsaturation
H,1H,1.007825032,1,6,0,-0.5
[2]H,2H,2.014101778,0.000115013,6,1.006276746,-0.5
[3]He,3He,3.016029319,1.34E-06,0,-0.986573935,0
He,4He,4.002603254,1,0,0,0
[6]Li,6Li,6.0151223,0.082133968,0,-1.0008818,-0.5
Li,7Li,7.0160041,1,0,0,-0.5
Be,9Be,9.0121822,1,0,0,-1
[10]B,10B,10.0129371,0.248439451,0,-0.9963684,0.5
B,11B,11.0093055,1,0,0,0.5
C,12C,12,1,0,0,1
[13]C,13C,13.00335484,0.010815728,0,1.00335484,1
N,14N,14.00307401,1,4,0,0.5
[15]N,15N,15.00010897,0.003653298,4,0.99703496,0.5
O,16O,15.99491462,1,3,0,0
[17]O,17O,16.9991315,0.000380926,3,1.00421688,0
[18]O,18O,17.9991604,0.002054994,3,2.00424578,0
F,19F,18.9984032,1,6,0,-0.5
Ne,20Ne,19.99244018,1,0,0,0
[21]Ne,21Ne,20.99384668,0.002984085,0,1.0014065,0
[22]Ne,22Ne,21.99138511,0.102232538,0,1.99894493,0
Na,23Na,22.98976966,1,0,0,-0.5
Mg,24Mg,23.98504187,1,0,0,-1
[25]Mg,25Mg,24.985837,0.126598304,0,1.00079513,-1
[26]Mg,26Mg,25.982593,0.139384732,0,1.99755113,-1
Al,27Al,26.98153863,1,0,0,-1.5
Si,28Si,27.97692649,1,1,0,1
[29]Si,29Si,28.97649468,0.050800776,1,0.99956819,1
[30]Si,30Si,29.97377018,0.033527428,1,1.99684369,1
P,31P,30.97376149,1,2,0,0.5
S,32S,31.97207073,1,3,0,0
[33]S,33S,32.97145854,0.007895568,3,0.99938781,0
[34]S,34S,33.96786687,0.044741552,3,1.99579614,0
[36]S,36S,35.96708088,0.000105274,3,3.99501015,0
Cl,35Cl,34.96885271,1,2,0,-0.5
[37]Cl,37Cl,36.9659026,0.319957761,2,1.99704989,-0.5
[36]Ar,36Ar,35.96754511,0.003378504,0,-3.99483801,0
[38]Ar,38Ar,37.9627324,0.000634536,0,-1.99965072,0
Ar,40Ar,39.96238312,1,0,0,0
K,39K,38.9637069,1,0,0,-0.5
[40]K,40K,39.96399867,0.000125458,0,1.00029177,-0.5
[41]K,41K,40.96182597,0.072167458,0,1.99811907,-0.5
Ca,40Ca,39.9625912,1,0,0,-1
[42]Ca,42Ca,41.9586183,0.006674163,0,1.9960271,-1
[43]Ca,43Ca,42.9587668,0.0013926,0,2.9961756,-1
[44]Ca,44Ca,43.9554811,0.021518243,0,3.9928899,-1
[46]Ca,46Ca,45.9536927,4.13E-05,0,5.9911015,-1
[48]Ca,48Ca,47.952533,0.001929008,0,7.9899418,-1
Sc,45Sc,44.9559119,1,0,0,0
[46]Ti,46Ti,45.9526316,0.111909929,0,-1.9953147,0
[47]Ti,47Ti,46.9517631,0.100922409,0,-0.9961832,0
Ti,48Ti,47.9479463,1,0,0,0
[49]Ti,49Ti,48.94787,0.073385784,0,0.9999237,0
[50]Ti,50Ti,49.9447912,0.070265871,0,1.9968449,0
[50]V,50V,49.9471585,0.002506266,0,-0.996801,0
V,51V,50.9439595,1,0,0,0
[50]Cr,50Cr,49.9460442,0.051856449,0,-1.9944633,0
Cr,52Cr,51.9405075,1,0,0,0
[53]Cr,53Cr,52.9406494,0.113391973,0,1.0001419,0
[54]Cr,54Cr,53.9388804,0.028225662,0,1.9983729,0
Mn,55Mn,54.9380451,1,0,0,0
[54]Fe,54Fe,53.9396147,0.063702945,0,-1.9953271,0
Fe,56Fe,55.9349418,1,0,0,0
[57]Fe,57Fe,56.9353983,0.023094361,0,1.0004565,0
[58]Fe,58Fe,57.9332801,0.003073435,0,1.9983383,0
Co,59Co,58.933195,1,0,0,0
Ni,58Ni,57.9353429,1,0,0,-1
[60]Ni,60Ni,59.9307864,0.38519821,0,1.9954435,-1
[61]Ni,61Ni,60.931056,0.016744299,0,2.9957131,-1
[62]Ni,62Ni,61.9283451,0.053388154,0,3.9930022,-1
[64]Ni,64Ni,63.927966,0.013596389,0,5.9926231,-1
Cu,63Cu,62.9295975,1,0,0,0
[65]Cu,65Cu,64.9277895,0.446131598,0,1.998192,0
Zn,64Zn,63.9291422,1,0,0,0
[66]Zn,66Zn,65.9260334,0.579576531,0,1.9968912,0
[67]Zn,67Zn,66.9271273,0.08498384,0,2.9979851,0
[68]Zn,68Zn,67.9248442,0.394132759,0,3.995702,0
[70]Zn,70Zn,69.9253193,0.013072843,0,5.9961771,0
Ga,69Ga,68.9255736,1,0,0,0
[71]Ga,71Ga,70.9247013,0.663672057,0,1.9991277,0
[70]Ge,70Ge,69.9242474,0.555010893,0,-3.9969304,0
[72]Ge,72Ge,71.9220758,0.743736383,0,-1.999102,0
[73]Ge,73Ge,72.9234589,0.211328976,0,-0.9977189,0
Ge,74Ge,73.9211778,1,0,0,0
[76]Ge,76Ge,75.9214026,0.213235294,0,2.0002248,0
As,75As,74.9215965,1,0,0,0
[74]Se,74Se,73.9224764,0.017939931,0,-5.9940449,0
[76]Se,76Se,75.9192136,0.188873211,0,-3.9973077,0
